iter	Passed	Remaining
0	3	3725
1	6	3374
2	10	3552
3	13	3359
4	17	3449
5	20	3464
6	24	3491
7	27	3468
8	31	3481
9	35	3474
10	38	3481
11	42	3483
12	46	3504
13	49	3499
14	53	3489
15	56	3481
16	60	3475
17	63	3479
18	67	3473
19	70	3477
20	74	3468
21	78	3471
22	81	3474
23	84	3451
24	87	3427
25	90	3406
26	94	3387
27	97	3369
28	100	3355
29	103	3339
30	106	3325
31	109	3310
32	112	3297
33	115	3290
34	118	3278
35	121	3264
36	124	3252
37	128	3241
38	131	3239
39	134	3228
40	137	3218
41	140	3208
42	143	3190
43	146	3182
44	149	3173
45	152	3164
46	155	3155
47	158	3146
48	161	3139
49	165	3135
50	168	3127
51	171	3123
52	174	3117
53	177	3114
54	181	3112
55	184	3110
56	187	3105
57	190	3097
58	193	3092
59	197	3087
60	200	3081
61	203	3076
62	206	3069
63	209	3066
64	212	3059
65	215	3053
66	219	3049
67	222	3043
68	224	3033
69	228	3030
70	231	3026
71	234	3022
72	237	3016
73	240	3011
74	243	3006
75	246	3000
76	249	2994
77	252	2989
78	255	2983
79	258	2978
80	262	2972
81	265	2967
82	268	2962
83	271	2956
84	274	2951
85	276	2941
86	279	2936
87	282	2931
88	286	2928
89	289	2923
90	292	2918
91	295	2913
92	298	2908
93	301	2904
94	304	2902
95	307	2898
96	310	2893
97	313	2888
98	316	2884
99	320	2880
100	323	2876
101	326	2871
102	329	2867
103	332	2866
104	336	2865
105	339	2861
106	342	2856
107	345	2852
108	348	2848
109	351	2843
110	354	2839
111	357	2834
112	360	2830
113	363	2826
114	366	2822
115	369	2817
116	372	2813
117	375	2809
118	378	2805
119	381	2800
120	385	2797
121	388	2793
122	391	2788
123	394	2784
124	397	2780
125	400	2776
126	403	2772
127	406	2768
128	409	2764
129	412	2760
130	415	2756
131	418	2752
132	421	2748
133	424	2744
134	427	2740
135	430	2736
136	433	2732
137	436	2728
138	439	2724
139	442	2720
140	446	2717
141	449	2713
142	452	2709
143	454	2701
144	457	2697
145	460	2693
146	463	2689
147	466	2685
148	469	2682
149	472	2678
150	475	2675
151	478	2670
152	481	2667
153	484	2663
154	488	2660
155	491	2656
156	494	2652
157	497	2649
158	500	2645
159	503	2641
160	506	2637
161	509	2634
162	512	2630
163	515	2626
164	518	2622
165	521	2618
166	524	2614
167	526	2608
168	529	2604
169	532	2601
170	535	2597
171	538	2593
172	541	2589
173	544	2586
174	547	2582
175	550	2578
176	553	2575
177	556	2571
178	559	2568
179	562	2564
180	566	2561
181	569	2558
182	572	2554
183	575	2551
184	578	2547
185	581	2544
186	584	2541
187	587	2537
188	590	2534
189	593	2530
190	596	2527
191	599	2524
192	602	2520
193	605	2517
194	608	2513
195	611	2510
196	615	2506
197	618	2503
198	621	2499
199	624	2496
200	627	2492
201	629	2488
202	633	2485
203	635	2481
204	638	2477
205	642	2474
206	644	2470
207	647	2467
208	651	2464
209	654	2460
210	657	2457
211	660	2453
212	663	2450
213	666	2446
214	669	2443
215	672	2440
216	675	2437
217	678	2434
218	681	2430
219	684	2427
220	687	2424
221	690	2421
222	693	2418
223	697	2414
224	700	2411
225	703	2408
226	706	2404
227	709	2401
228	712	2398
229	715	2395
230	718	2391
231	721	2389
232	724	2386
233	727	2382
234	731	2379
235	734	2378
236	737	2374
237	740	2371
238	743	2367
239	746	2364
240	749	2361
241	753	2358
242	756	2355
243	759	2351
244	762	2348
245	765	2345
246	768	2342
247	771	2339
248	774	2336
249	777	2332
250	780	2329
251	783	2326
252	786	2322
253	789	2319
254	792	2316
255	795	2313
256	798	2309
257	801	2306
258	804	2302
259	807	2299
260	810	2293
261	813	2290
262	816	2287
263	819	2283
264	822	2280
265	825	2277
266	828	2273
267	831	2270
268	834	2267
269	837	2264
270	840	2261
271	843	2258
272	846	2255
273	849	2252
274	852	2248
275	855	2245
276	859	2242
277	862	2238
278	865	2235
279	868	2232
280	871	2229
281	874	2226
282	877	2222
283	880	2219
284	883	2216
285	886	2212
286	889	2209
287	892	2206
288	895	2202
289	898	2199
290	901	2196
291	904	2193
292	907	2189
293	910	2185
294	913	2182
295	916	2179
296	919	2176
297	922	2173
298	925	2169
299	928	2166
300	931	2163
301	934	2160
302	937	2157
303	941	2155
304	944	2153
305	948	2151
306	952	2149
307	955	2146
308	958	2143
309	961	2140
310	964	2137
311	968	2134
312	971	2131
313	974	2128
314	977	2125
315	980	2122
316	984	2120
317	987	2118
318	991	2116
319	994	2113
320	997	2110
321	1000	2107
322	1003	2104
323	1007	2101
324	1010	2098
325	1013	2095
326	1016	2092
327	1019	2089
328	1023	2086
329	1026	2083
330	1029	2080
331	1032	2076
332	1035	2073
333	1038	2070
334	1041	2067
335	1044	2064
336	1048	2061
337	1051	2058
338	1054	2056
339	1057	2053
340	1060	2050
341	1063	2047
342	1067	2044
343	1070	2041
344	1073	2038
345	1076	2035
346	1079	2032
347	1083	2029
348	1086	2026
349	1089	2023
350	1092	2020
351	1095	2017
352	1098	2014
353	1101	2010
354	1105	2008
355	1108	2006
356	1112	2003
357	1115	2000
358	1119	1998
359	1122	1995
360	1125	1992
361	1128	1989
362	1132	1986
363	1135	1983
364	1138	1980
365	1141	1978
366	1145	1975
367	1148	1972
368	1151	1969
369	1154	1966
370	1157	1963
371	1161	1959
372	1164	1956
373	1167	1953
374	1170	1950
375	1173	1947
376	1176	1944
377	1179	1941
378	1182	1938
379	1186	1935
380	1189	1932
381	1192	1929
382	1196	1927
383	1199	1924
384	1202	1921
385	1206	1918
386	1209	1915
387	1212	1912
388	1215	1909
389	1218	1906
390	1222	1903
391	1225	1900
392	1228	1897
393	1231	1894
394	1234	1891
